term,all_data_frequency,gender_0,gender_1,stage_1,stage_2,child_0,child_1,region_0,region_1,region_2,area_0,area_1,type_0,type_1,type_2
term_self,87740,45983,41757,43107,44633,66318,21422,24300,39304,24136,26519,61221,43107,40423,4210
term_self_unclear,5605,3339,2266,1724,3881,3858,1747,1271,2610,1724,1276,4329,1724,3656,225
term_self_edu_goals,43636,24676,18960,23060,20576,33841,9795,12380,19831,11425,13831,29805,23060,19210,1366
term_self_career_planning,31616,16451,15165,15318,16298,23272,8344,8455,14128,9033,8989,22627,15318,14889,1409
term_self_material,23779,13013,10766,8129,15650,17362,6417,6467,10453,6859,6832,16947,8129,14118,1532
term_self_cultivation,33645,18421,15224,14716,18929,24618,9027,8322,15884,9439,9140,24505,14716,17700,1229
term_beyond_prosocial,19492,8892,10600,9173,10319,13907,5585,4338,9609,5545,4880,14612,9173,9810,509
term_beyond_family_relation,23245,12086,11159,9803,13442,17241,6004,6294,10581,6370,6778,16467,9803,12551,891
term_beyond,35174,17423,17751,15555,19619,25623,9551,8871,16454,9849,9712,25462,15555,18379,1240
Unclear,5605,3339,2266,1724,3881,3858,1747,1271,2610,1724,1276,4329,1724,3656,225
Education_overall,43636,24676,18960,23060,20576,33841,9795,12380,19831,11425,13831,29805,23060,19210,1366
Post_secondary,28985,17045,11940,12584,16401,22338,6647,8653,13014,7318,9270,19715,12584,15586,815
Postgraduate,461,232,229,269,192,333,128,100,237,124,118,343,269,181,11
Career_overall,31616,16451,15165,15318,16298,23272,8344,8455,14128,9033,8989,22627,15318,14889,1409
Doctors,3741,2452,1289,1776,1965,2814,927,1126,1721,894,1162,2579,1776,1896,69
Teachers,4241,3035,1206,2232,2009,3254,987,1162,1850,1229,1400,2841,2232,1781,228
Research_academia,2597,801,1796,1210,1387,1745,852,462,1409,726,495,2102,1210,1370,17
Military,2046,360,1686,1140,906,1620,426,703,793,550,632,1414,1140,752,154
ICT_professionals,424,88,336,181,243,276,148,74,217,133,110,314,181,219,24
Sportspeople,1542,172,1370,1149,393,1137,405,457,697,388,456,1086,1149,328,65
Artistic_creators_Performs,1345,946,399,927,418,978,367,385,592,368,376,969,927,371,47
Business_managers_owners,1320,518,802,692,628,1020,300,381,581,358,401,919,692,526,102
Public_Civil_Servant,1265,682,583,548,717,894,371,309,567,389,377,888,548,698,19
Politicians,95,36,59,32,63,65,30,20,46,29,18,77,32,61,2
Celebrity,162,84,78,127,35,113,49,34,90,38,54,108,127,29,6
Astronauts,274,49,225,204,70,207,67,73,129,72,77,197,204,63,7
Leaders,147,32,115,68,79,110,37,31,73,43,47,100,68,75,4
Lawyers,776,647,129,378,398,610,166,188,395,193,210,566,378,396,2
Nurses,116,99,17,67,49,103,13,44,47,25,44,72,67,27,22
Designer,624,446,178,333,291,448,176,127,313,184,145,479,333,268,23
Literature_workers,1101,704,397,494,607,760,341,254,529,318,242,859,494,587,20
Engineers,216,29,187,90,126,141,75,36,122,58,47,169,90,120,6
Journalist,88,85,3,29,59,76,12,25,48,15,35,53,29,59,0
Architect,87,31,56,24,63,49,38,14,46,27,19,68,24,63,0
Chef,153,24,129,128,25,127,26,50,59,44,74,79,128,14,11
Pilot,136,23,113,91,45,96,40,36,67,33,29,107,91,44,1
Office_clerk,103,53,50,56,47,81,22,26,44,33,20,83,56,35,12
Flight_Attendants,14,12,2,7,7,7,7,5,3,6,5,9,7,7,0
Material_overall,23779,13013,10766,8129,15650,17362,6417,6467,10453,6859,6832,16947,8129,14118,1532
Economic_security,4082,2343,1739,1177,2905,2874,1208,1000,1774,1308,1017,3065,1177,2647,258
Materialistic_desires,8491,4465,4026,2801,5690,6221,2270,2437,3662,2392,2584,5907,2801,4921,769
Cultivation_overall,33645,18421,15224,14716,18929,24618,9027,8322,15884,9439,9140,24505,14716,17700,1229
Physical_health,2755,1673,1082,879,1876,1949,806,624,1244,887,719,2036,879,1699,177
Mind_Capacity,14138,8599,5539,5957,8181,10245,3893,3339,6837,3962,3713,10425,5957,7840,341
Prosocial_overall,19492,8892,10600,9173,10319,13907,5585,4338,9609,5545,4880,14612,9173,9810,509
Social_change,7261,3483,3778,3552,3709,5131,2130,1525,3603,2133,1782,5479,3552,3515,194
National_prosperity_security,8466,3447,5019,4352,4114,6150,2316,1901,4301,2264,2183,6283,4352,3924,190
Mankind_People,1670,760,910,635,1035,1118,552,288,836,546,310,1360,635,999,36
World_Universe,3558,1754,1804,1308,2250,2451,1107,791,1752,1015,812,2746,1308,2147,103
Nature_Environment,420,221,199,133,287,284,136,87,183,150,85,335,133,275,12
Diseases,358,165,193,138,220,242,116,67,165,126,68,290,138,212,8
Family_oriented,21273,10948,10325,9197,12076,15933,5340,5894,9635,5744,6367,14906,9197,11246,830
Interpersonal_oriented,3166,1902,1264,928,2238,2114,1052,655,1507,1004,660,2506,928,2142,96
Positive,46729,25638,21091,21409,25320,35004,11725,12157,21182,13390,13412,33317,21409,22970,2350
Ordinary,3622,1969,1653,1011,2611,2559,1063,980,1451,1191,982,2640,1011,2371,240
Negative,1764,1042,722,667,1097,1352,412,482,831,451,528,1236,667,1035,62
To_accomplish_achieve,3493,1953,1540,1323,2170,2523,970,822,1638,1033,826,2667,1323,2034,136
To_be,17460,9153,8307,9721,7739,13076,4384,4919,7877,4664,5156,12304,9721,7003,736
To_be_able,17507,10045,7462,6752,10755,12716,4791,4576,7726,5205,4775,12732,6752,9990,765
To_get_into,1676,745,931,802,874,1173,503,354,864,458,396,1280,802,841,33
To_earn_money,4096,2279,1817,1182,2914,3080,1016,1266,1685,1145,1361,2735,1182,2470,444
To_get_married,569,134,435,165,404,415,154,129,280,160,138,431,165,372,32
